Path,Name,Kind
common.items.armor.back.admin,Admin's Cape,Admin
common.items.armor.back.dungeon_purple-0,Purple Cultist Cape,DungPurp0
common.items.armor.back.leather_adventurer,Agile Cape,Short2
common.items.armor.back.short_0,Short leather Cape,Short0
common.items.armor.back.short_1,Green Blanket,Short1
common.items.armor.belt.assassin,Assassin Belt,Assassin
common.items.armor.belt.bonerattler,Bonerattler Belt,Bonerattler
common.items.armor.belt.cloth_blue_0,Blue Linen Belt,ClothBlue0
common.items.armor.belt.cloth_green_0,Green Linen Belt,ClothGreen0
common.items.armor.belt.cloth_purple_0,Purple Linen Belt,ClothPurple0
common.items.armor.belt.cultist_belt,Cultist Belt,Cultist
common.items.armor.belt.druid,Druid's Belt,Druid
common.items.armor.belt.leather_0,Swift Belt,Leather0
common.items.armor.belt.leather_2,Leather Belt,Leather2
common.items.armor.belt.leather_adventurer,Agile Belt,Leather2
common.items.armor.belt.plate_0,Iron Belt,Plate0
common.items.armor.belt.steel_0,Steel Belt,Steel0
common.items.armor.belt.tarasque,Tarasque Belt,Tarasque
common.items.armor.belt.twig,Twig Belt,Twig
common.items.armor.belt.twigsflowers,Flowery Belt,Twigsflowers
common.items.armor.belt.twigsleaves,Leafy Belt,Twigsleaves
common.items.armor.chest.assassin,Assassin Chest,Assassin
common.items.armor.chest.bonerattler,Bonerattler Cuirass,Bonerattler
common.items.armor.chest.cloth_blue_0,Blue Linen Chest,ClothBlue0
common.items.armor.chest.cloth_green_0,Green Linen Chest,ClothGreen0
common.items.armor.chest.cloth_purple_0,Purple Linen Chest,ClothPurple0
common.items.armor.chest.cultist_chest_blue,Blue Cultist Chest,CultistBlue
common.items.armor.chest.cultist_chest_purple,Purple Cultist Chest,CultistPurple
common.items.armor.chest.druid,Druid's Vest,Druid
common.items.armor.chest.leather_0,Swift Chest,Leather0
common.items.armor.chest.leather_2,Leather Cuirass,Leather2
common.items.armor.chest.leather_adventurer,Agile Chest,Leather2
common.items.armor.chest.plate_green_0,Iron Chestplate,PlateGreen0
common.items.armor.chest.steel_0,Steel Cuirass,Steel0
common.items.armor.chest.tarasque,Tarasque Cuirass,Tarasque
common.items.armor.chest.twig,Twig Shirt,Twig
common.items.armor.chest.twigsflowers,Flowery Shirt,Twigsflowers
common.items.armor.chest.twigsleaves,Leafy Shirt,Twigsleaves
common.items.armor.chest.worker_green_0,Green Worker Shirt,WorkerGreen0
common.items.armor.chest.worker_green_1,Green Worker Shirt,WorkerGreen1
common.items.armor.chest.worker_orange_0,Orange Worker Shirt,WorkerOrange0
common.items.armor.chest.worker_orange_1,Orange Worker Shirt,WorkerOrange1
common.items.armor.chest.worker_purple_0,Purple Worker Shirt,WorkerPurple0
common.items.armor.chest.worker_purple_1,Purple Worker Shirt,WorkerPurple1
common.items.armor.chest.worker_red_0,Red Worker Shirt,WorkerRed0
common.items.armor.chest.worker_red_1,Red Worker Shirt,WorkerRed1
common.items.armor.chest.worker_yellow_0,Yellow Worker Shirt,WorkerYellow0
common.items.armor.chest.worker_yellow_1,Yellow Worker Shirt,WorkerYellow1
common.items.armor.foot.assassin,Assassin Boots,Assassin
common.items.armor.foot.bonerattler,Bonerattler Boots,Bonerattler
common.items.armor.foot.cloth_blue_0,Blue Linen Boots,ClothBlue0
common.items.armor.foot.cloth_green_0,Green Linen Boots,ClothGreen0
common.items.armor.foot.cloth_purple_0,Purple Linen Boots,ClothPurple0
common.items.armor.foot.cultist_boots,Cultist Boots,Cultist
common.items.armor.foot.druid,Druid's Slippers,Druid
common.items.armor.foot.jackalope_slippers,Fluffy Jackalope Slippers,JackalopeSlips
common.items.armor.foot.leather_0,Swift Boots,Leather0
common.items.armor.foot.leather_2,Leather Boots,Leather2
common.items.armor.foot.leather_adventurer,Agile Kickers,Leather2
common.items.armor.foot.plate_0,Iron Feet,Plate0
common.items.armor.foot.steel_0,Steel Boots,Steel0
common.items.armor.foot.tarasque,Tarasque Boots,Tarasque
common.items.armor.foot.twig,Twig Boots,Twig
common.items.armor.foot.twigsflowers,Flowery Boots,Twigsflowers
common.items.armor.foot.twigsleaves,Leafy Boots,Twigsleaves
common.items.armor.hand.assassin,Assassin Gloves,Assassin
common.items.armor.hand.bonerattler,Bonerattler Gauntlets,Bonerattler
common.items.armor.hand.cloth_blue_0,Blue Linen Wrists,ClothBlue0
common.items.armor.hand.cloth_green_0,Green Linen Wrists,ClothGreen0
common.items.armor.hand.cloth_purple_0,Purple Silk Wrists,ClothPurple0
common.items.armor.hand.cultist_hands_blue,Blue Cultist Gloves,CultistBlue
common.items.armor.hand.cultist_hands_purple,Purple Cultist Gloves,CultistPurple
common.items.armor.hand.druid,Druid's Gloves,Druid
common.items.armor.hand.leather_0,Swift Gloves,Leather0
common.items.armor.hand.leather_2,Leather Gloves,Leather2
common.items.armor.hand.leather_adventurer,Agile Gauntlets,Leather2
common.items.armor.hand.plate_0,Iron Handguards,Plate0
common.items.armor.hand.steel_0,Steel Gauntlets,Steel0
common.items.armor.hand.tarasque,Tarasque Gauntlets,Tarasque
common.items.armor.hand.twig,Twig Wraps,Twig
common.items.armor.hand.twigsflowers,Flowery Wraps,Twigsflowers
common.items.armor.hand.twigsleaves,Leafy Wraps,Twigsleaves
common.items.armor.head.assa_mask_0,Dark Assassin Mask,AssaMask0
common.items.armor.head.leather_0,Swift Leather Cap,Leather0
common.items.armor.neck.neck_0,Plain Necklace,Neck0
common.items.armor.neck.neck_1,Gem of lesser Protection,Neck1
common.items.armor.pants.assassin,Assassin Pants,Assassin
common.items.armor.pants.bonerattler,Bonerattler Chausses,Bonerattler
common.items.armor.pants.cloth_blue_0,Blue Linen Skirt,ClothBlue0
common.items.armor.pants.cloth_green_0,Green Linen Skirt,ClothGreen0
common.items.armor.pants.cloth_purple_0,Purple Linen Skirt,ClothPurple0
common.items.armor.pants.cultist_legs_blue,Blue Cultist Skirt,CultistBlue
